src,Date,Total Searches,Monetized Searches,Clicks,Revenue,CTR,RPM,Coverage
feeddesk41,2023-07-01,3968.0,69.0,0.0,0.924,0.0,13.391304347826088,1.7389112903225805
feeddesk41,2023-07-02,3827.0,1296.0,25.0,4.737,1.9290123456790123,3.6550925925925926,33.86464593676509
feeddesk41,2023-07-03,4079.0,3763.0,79.0,13.88,2.099388785543449,3.688546372575073,92.25300318705565
feeddesk41,2023-07-04,4393.0,4033.0,69.0,12.35,1.7108851971237293,3.0622365484750804,91.80514454814478
feeddesk41,2023-07-05,3936.0,3614.0,68.0,13.37,1.8815716657443278,3.6995019369120086,91.81910569105692
feeddesk41,2023-07-06,4468.0,3725.0,52.0,10.13,1.395973154362416,2.7194630872483225,83.37063563115488
feeddesk41,2023-07-07,3830.0,2949.0,43.0,8.08,1.4581213970837572,2.7399118345201763,76.99738903394255
feeddesk41,2023-07-08,4095.0,3118.0,38.0,7.61,1.2187299550994226,2.4406670942912125,76.14163614163614
feeddesk41,2023-07-09,2854.661572052402,2494.849344978166,25.37991266375546,3.4493886462882095,1.0172923954242847,1.382603984978659,87.39562578636796
feeddesk41,2023-07-10,512.0,24.0,3.0,0.71,12.5,29.583333333333332,4.6875
