src,Date,Total Searches,Monetized Searches,Clicks,Revenue,CTR,RPM,Coverage
feeddesk1,2023-07-01,52805.0,27278.0,3872.0,505.71,14.19458904611775,18.539115770950946,51.657986933055575
feeddesk1,2023-07-02,62273.0,32190.0,5021.0,502.28,15.598011804908356,15.603603603603604,51.69174441571789
feeddesk1,2023-07-03,38361.594680609225,20260.8117754035,3249.6115026142306,354.2910093203001,16.03890080336879,17.486516001812284,52.81535333473717
feeddesk1,2023-07-04,26908.0,12886.0,1758.0,328.17,13.642713021884214,25.467173676858607,47.88910361230861
feeddesk1,2023-07-05,27740.0,15305.0,1867.0,304.86,12.19862789937929,19.918980725253185,55.17303532804614
feeddesk1,2023-07-06,42514.0,22531.0,2596.0,451.52,11.521903155652211,20.039944964715282,52.996659923789814
feeddesk1,2023-07-07,78025.0,38257.0,4216.0,754.51,11.020205452596912,19.72214235303343,49.03172060237104
feeddesk1,2023-07-08,71379.0,35493.0,4087.0,632.2,11.514946609190545,17.811962922266364,49.72470894800992
feeddesk1,2023-07-09,45728.0,23940.0,3003.0,447.28999999999996,12.543859649122806,18.68379281537176,52.35304408677397
feeddesk1,2023-07-10,13881.0,7116.0,1214.0,156.52,17.060146149522204,21.99550309162451,51.26431813269937
feeddesk1,2023-07-11,37755.0,21298.0,2992.0,446.52,14.048267442952389,20.965348859047797,56.411071381274006
feeddesk1,2023-07-12,27131.0,16683.0,2471.0,389.7,14.811484744949949,23.35910807408739,61.49054587003796
feeddesk1,2023-07-13,55790.0,27796.0,4252.0,581.31,15.297165059720824,20.91344078284645,49.822548843878835
feeddesk1,2023-07-14,40664.67646591451,30110.430160495787,3757.700937549658,536.2306213252821,12.479731832193078,17.80879975699599,74.04566512593458
feeddesk1,2023-07-15,44800.0,24483.0,3649.0,506.65,14.904219254176368,20.69395090470939,54.64955357142857
feeddesk1,2023-07-16,15013.501575194025,11420.03489399828,2053.089070502343,356.15685215454096,17.977957944606015,31.187019607244522,76.06509938272474
feeddesk1,2023-07-17,13886.0,10337.0,2111.0,377.72,20.42178581793557,36.54058237399633,74.44188391185367
feeddesk1,2023-07-18,18435.0,15747.0,2285.0,377.36,14.510700450879533,23.96392963739125,85.41903986981285
feeddesk1,2023-07-19,18340.665688829384,14568.695282761571,2415.0047713065655,392.918490396997,16.576671585437875,26.970053444793944,79.43384133344091
feeddesk1,2023-07-20,11671.0,9321.0,1066.0,87.92999999999999,11.436541143654114,9.433537174122948,79.86462171193557
feeddesk1,2023-07-21,8423.0,4994.0,472.0,40.629999999999995,9.451341609931918,8.135762915498596,59.29003917843999
