src,Date,Total Searches,Monetized Searches,Clicks,Revenue,CTR,RPM,Coverage
mob601,2023-07-01,4605.0,2307.0,59.0,16.51,2.5574338968357173,7.156480277416559,50.097719869706836
mob601,2023-07-02,4654.0,2333.0,67.0,26.11,2.87183883411916,11.191598799828546,50.128921357971635
mob601,2023-07-03,4691.0,2304.0,58.0,18.3,2.517361111111111,7.942708333333333,49.11532722234065
mob601,2023-07-04,4505.0,2073.0,55.0,15.6,2.653159671972986,7.525325615050651,46.01553829078801
mob601,2023-07-05,4128.0,2110.0,50.0,19.94,2.3696682464454977,9.450236966824646,51.11434108527132
