src,Date,Total Searches,Monetized Searches,Clicks,Revenue,CTR,RPM,Coverage
feeddesk8a,2023-07-01,9857.0,7203.0,327.0,29.51,4.539775093710953,4.096904067749549,73.07497210104495
feeddesk8a,2023-07-02,9844.0,6593.0,311.0,33.51,4.717124222660398,5.082663430911572,66.97480698902885
feeddesk8a,2023-07-03,9861.0,5215.0,483.0,39.03,9.261744966442953,7.484180249280921,52.88510293073725
feeddesk8a,2023-07-04,9866.0,5219.0,459.0,36.83,8.794788273615636,7.0569074535351595,52.89884451652138
feeddesk8a,2023-07-05,9851.0,5747.0,448.0,56.98,7.795371498172959,9.914738124238733,58.3392548979799
feeddesk8a,2023-07-06,6565.0,3626.0,385.0,26.68,10.617760617760617,7.357970215113072,55.23229246001523
feeddesk8a,2023-07-07,6563.0,3983.0,280.0,33.46,7.029876977152901,8.400702987697715,60.688709431662346
feeddesk8a,2023-07-08,6554.0,3574.0,277.0,31.96,7.750419697817572,8.942361499720201,54.531583765639304
feeddesk8a,2023-07-09,6571.0,3654.0,257.0,30.32,7.033388067870828,8.29775588396278,55.6079744331152
feeddesk8a,2023-07-10,6546.0,3696.0,317.0,26.72,8.576839826839826,7.229437229437229,56.461961503208066
feeddesk8a,2023-07-11,7201.0,4360.0,483.0,65.19,11.077981651376147,14.95183486238532,60.54714622969032
feeddesk8a,2023-07-12,4057.0,2290.0,124.0,21.83,5.414847161572053,9.532751091703055,56.445649494700525
feeddesk8a,2023-07-13,2142.0,1123.0,57.0,15.64,5.075690115761353,13.926981300089047,52.427637721755374
feeddesk8a,2023-07-14,9789.0,5896.0,416.0,103.26,7.055630936227951,17.513568521031207,60.23087138624987
feeddesk8a,2023-07-15,9902.0,6255.0,501.0,115.73,8.009592326139089,18.50199840127898,63.169056756210864
feeddesk8a,2023-07-16,17343.961582700715,9742.734529560617,720.8778467908903,163.2787117552335,7.399132600848982,16.759022968328495,56.173639932864326
feeddesk8a,2023-07-17,16981.0,8258.0,606.0,175.32999999999998,7.338338580770162,21.231533058852023,48.63082268417644
feeddesk8a,2023-07-18,16737.0,10115.0,905.0,209.21,8.947108255066732,20.683143845773603,60.434964450020914
feeddesk8a,2023-07-19,15930.0,7336.0,666.0,196.6,9.078516902944383,26.799345692475462,46.05147520401758
feeddesk8a,2023-07-20,3473.0,2063.0,200.0,33.63,9.694619486185168,16.301502666020358,59.401094154909295
feeddesk8b,2023-07-03,3863.1857262335443,1308.259972269921,127.76927907351526,13.539618780876804,9.766352390330095,10.349333517698806,33.86479618067505
feeddesk8b,2023-07-04,4678.0,1522.0,159.0,17.35,10.446780551905388,11.399474375821288,32.53527148353997
feeddesk8b,2023-07-05,3228.0,1049.0,108.0,11.91,10.295519542421355,11.353670162059103,32.49690210656753
feeddesk8b,2023-07-06,4312.0,1951.0,154.0,11.85,7.893388006150692,6.073808303434136,45.24582560296846
feeddesk8b,2023-07-07,6153.0,2099.0,156.0,10.82,7.432110528823249,5.154835636017151,34.113440598082235
feeddesk8b,2023-07-08,6006.0,1588.0,124.0,6.97,7.8085642317380355,4.389168765743073,26.44022644022644
feeddesk8b,2023-07-09,6549.0,1463.0,107.0,5.6,7.313738892686262,3.8277511961722483,22.339288440983356
feeddesk8b,2023-07-10,5939.0,1167.0,107.0,6.06,9.168808911739502,5.19280205655527,19.649772689004884
feeddesk8b,2023-07-11,1735.0,121.0,13.0,0.89,10.743801652892563,7.355371900826447,6.9740634005763695
