src,Date,Total Searches,Monetized Searches,Clicks,Revenue,CTR,RPM,Coverage
feeddesk7,2023-07-01,3258.0,1957.0,203.0,56.7,10.37301992846193,28.97291773122126,60.06752608962553
feeddesk7,2023-07-02,3572.013256006628,2020.4418668876,203.94366197183098,56.684341342170676,10.094012864918357,28.055418109846613,56.56311223061853
feeddesk7,2023-07-03,4950.307289185326,2053.5707479752264,197.26536445926632,55.97165316817532,9.60596875728608,27.255770575891816,41.48370248573363
feeddesk7,2023-07-04,5046.85453539823,1639.9242256637167,164.53484513274336,38.33119469026549,10.033076074972437,23.373759647188535,32.493986386201954
feeddesk7,2023-07-05,19876.0,7142.0,733.0,189.7,10.263231587790536,26.561187342481094,35.932783256188365
feeddesk7,2023-07-06,623.1107788324015,41.529710050708616,4.293329866077233,0.23117930048108176,10.337972166998014,5.566600397614314,6.664899960249106
feeddesk7,2023-07-07,444.7749422848942,105.71036376115305,10.712360391838772,1.4245460784925437,10.133689839572192,13.475935828877004,23.76715810879512
feeddesk7,2023-07-08,9479.020961896365,1065.148839259477,102.59090018611029,13.56847389558233,9.631602308033733,12.738570794496226,11.236907730673318
feeddesk7,2023-07-09,10664.191337539194,2269.317106017844,226.85289334813405,41.10389169313967,9.996526829439512,18.112890254138186,21.279786100888714
feeddesk7,2023-07-10,923.5288378560451,275.5744396522367,27.435338933775085,5.12814826567256,9.95569072675874,18.608940191057147,29.83928907861476
feeddesk7,2023-07-11,608.3857196786797,235.31226736471507,24.411150271780112,4.462871931305343,10.373938658261618,18.965742760823645,38.67813785783726
feeddesk7,2023-07-12,9567.182678473422,3523.692316157767,354.07431761177736,63.308325781302855,10.048389185065394,17.966473829455754,36.83103411505069
feeddesk7,2023-07-13,9600.532680106524,4083.459531177895,418.9484283518574,66.19905655553397,10.259644430246368,16.211512823891884,42.53367669524548
feeddesk7,2023-07-14,9556.328126482487,2595.03945043748,255.08078510659948,46.001456877712315,9.829553268008977,17.726688844733072,27.155194088052596
feeddesk7,2023-07-15,1.974793388429752,0.46652892561983467,0.0443526170798898,0.0022176308539944905,9.50693829347505,4.753469146737526,23.624189160912323
feeddesk7,2023-07-16,1.9723032069970845,0.4941690962099125,0.05131195335276968,0.0035714285714285713,10.383480825958703,7.227138643067846,25.055432372505543
feeddesk7,2023-07-17,0.9815957023477915,0.3273975328292877,0.034122562674094706,0.002785515320334262,10.422364023093285,8.508052263749622,33.35360291882031
feeddesk7,2023-07-18,2.9492606846262914,0.9847073121328742,0.0999594895685639,0.00829451083654041,10.151187904967603,8.423326133909288,33.38827650149376
feeddesk7,2023-07-19,0.9790603187832067,0.3274299406188145,0.03125325554745286,0.00262527346598604,9.545020680878142,8.017817371937639,33.44328580549053
feeddesk701,2023-07-01,10456.0,4135.0,399.0,72.8,9.649334945586457,17.60580411124546,39.54667176740627
feeddesk701,2023-07-02,10470.0,4247.0,438.0,76.3,10.313162232163881,17.965622792559454,40.563514804202484
feeddesk701,2023-07-03,10734.0,4315.0,428.0,79.1,9.918887601390498,18.331402085747392,40.19936649897522
feeddesk701,2023-07-04,10564.187210545066,3515.352333452084,358.78731742073387,58.11209476309227,10.20629750271444,16.530944625407166,33.276126817812305
feeddesk701,2023-07-05,10537.094262295082,3374.594262295082,345.20901639344265,59.726639344262296,10.229645093945722,17.698909765715612,32.02585246266993
feeddesk701,2023-07-06,10680.0,3813.0,373.0,65.1,9.78232362968791,17.073170731707314,35.70224719101124
feeddesk701,2023-07-07,10207.0,4716.0,461.0,83.3,9.775233248515692,17.663273960983883,46.2035857744685
feeddesk701,2023-07-08,10580.0,4674.0,459.0,83.3,9.82028241335045,17.821994009413775,44.177693761814744
feeddesk701,2023-07-09,10514.96121700439,3279.583909566472,339.06800553183814,61.13498887619506,10.338750734286275,18.641080869394948,31.18969097349456
feeddesk701,2023-07-10,10362.963191604289,4878.738791573423,488.7654911644417,91.3497029091751,10.01827546104004,18.724040538295398,47.07860774344936
feeddesk701,2023-07-11,10358.301970580073,5492.213988343047,567.7912850402442,107.53033583125173,10.338112940343425,19.578686493184634,53.022339027595265
feeddesk701,2023-07-12,10182.499539897462,5115.069278296306,507.0152491126594,98.13637439200735,9.91218733368813,19.18573709419904,50.23392594572918
feeddesk701,2023-07-13,10379.18798549974,4802.392542723977,493.23718280683585,88.11227343345418,10.270655270655272,18.34757834757835,46.26944371210124
feeddesk701,2023-07-14,9386.956069123464,3084.5790825178706,293.6116316191269,60.776944964952456,9.518693596905887,19.703480876665235,32.8602697168679
feeddesk701,2023-07-15,10521.0,3464.0,346.0,72.8,9.988452655889144,21.016166281755194,32.924626936602984
feeddesk701,2023-07-16,10488.0,3899.0,390.0,86.1,10.002564760194922,22.08258527827648,37.17581998474447
feeddesk701,2023-07-17,10403.0,3619.0,350.0,72.8,9.671179883945841,20.11605415860735,34.78804191098722
feeddesk701,2023-07-18,10456.0,4247.0,428.0,95.9,10.077701907228633,22.580645161290324,40.61782708492731
feeddesk701,2023-07-19,10403.0,4358.0,447.0,101.5,10.25699862322166,23.290500229463056,41.891761991733155
feeddesk701,2023-07-20,10610.0,5089.0,526.0,121.1,10.336018864216937,23.796423658872076,47.96418473138549
feeddesk702,2023-07-01,11542.0,6146.0,614.0,38.06,9.990237552879922,6.1926456231695415,53.249003638884076
feeddesk702,2023-07-02,17105.0,9051.0,947.0,58.58,10.462932272677053,6.4722130151364485,52.914352528500444
feeddesk702,2023-07-03,16827.0,8346.0,838.0,57.41,10.040738078121256,6.878744308650851,49.59885897664468
feeddesk702,2023-07-04,16616.812789454932,7706.647666547916,859.2126825792661,55.167905236907735,11.148980980521953,7.158482861020611,46.378615226612965
feeddesk702,2023-07-05,9176.905737704918,3646.405737704918,400.79098360655735,32.203360655737704,10.99139844648278,8.831535208149054,39.734588563147426
feeddesk702,2023-07-06,5454.0,2081.0,240.0,7.83,11.532916866890917,3.762614127823162,38.15548221488815
feeddesk702,2023-07-07,6622.687321178287,2012.45336752621,231.39393276857714,16.259791556133383,11.49810159591504,8.079586746459912,30.38726229895693
feeddesk702,2023-07-08,10570.979038103633,1187.851160740523,114.4090998138897,15.13152610441767,9.631602308033733,12.738570794496226,11.236907730673318
feeddesk702,2023-07-09,11182.760200982828,1709.7142068356247,163.69604108000664,29.854143890453315,9.574468085106384,17.461482024944974,15.288839035333707
feeddesk702,2023-07-10,11098.280924756868,1439.2168571916054,140.08377409998295,26.19374680088722,9.733333333333334,18.2,12.96792599636898
feeddesk702,2023-07-11,10055.32591324201,2525.22602739726,263.7716894977169,44.80239726027398,10.44546850998464,17.74193548387097,25.11331854566496
feeddesk702,2023-07-12,9399.317781629117,2204.2384055459274,227.91043327556326,33.85529982668978,10.339645326119626,15.359182446648633,23.451046732924507
feeddesk702,2023-07-13,9946.261348342101,3860.093723235042,395.5267343692646,52.778098617398754,10.246557796990073,13.67275056035863,38.809494221448986
feeddesk702,2023-07-14,8308.238128986533,1782.5473659343256,183.69572407276164,26.206591070163004,10.305236628395408,14.701764211705404,21.45517904349916
feeddesk702,2023-07-15,10033.92520661157,2370.43347107438,225.3556473829201,11.267782369146007,9.50693829347505,4.753469146737526,23.624189160912326
feeddesk702,2023-07-16,9812.208454810496,2458.491253644315,255.27696793002917,17.767857142857146,10.383480825958703,7.227138643067848,25.055432372505543
feeddesk702,2023-07-17,9866.018404297653,3290.6726024671707,342.9658774373259,27.997214484679667,10.422364023093285,8.50805226374962,33.35360291882031
feeddesk702,2023-07-18,9704.050739315375,3240.0152926878673,328.90004051043144,27.291705489163462,10.151187904967603,8.423326133909288,33.38827650149376
feeddesk702,2023-07-19,9397.020939681217,3142.6725700593815,299.9687467444526,25.197374726534015,9.54502068087814,8.017817371937639,33.44328580549053
feeddesk702,2023-07-20,10184.0,3344.0,338.0,28.7,10.107655502392344,8.582535885167465,32.83582089552239
fd703,2023-07-01,9137.0,1554.0,88.0,16.37,5.662805662805663,10.534105534105535,17.007770603042573
fd703,2023-07-02,6006.0,971.0,51.0,19.37,5.25231719876416,19.948506694129765,16.167166167166165
