src,Date,Total Searches,Monetized Searches,Clicks,Revenue,CTR,RPM,Coverage
feeddesk9,2023-07-01,7700.0,8566.0,975.0,268.42,11.382208732197057,31.335512491244458,111.24675324675324
feeddesk9,2023-07-02,7602.0,6866.0,812.0,213.9,11.826390911739004,31.15351004951937,90.31833727966324
feeddesk9,2023-07-03,6253.003667705851,1803.9748762149277,163.71556941133323,16.565532734274715,9.075268817204302,9.182795698924734,28.849733217520786
feeddesk9,2023-07-04,837.0,177.0,15.0,1.19,8.47457627118644,6.72316384180791,21.14695340501792
feeddesk9,2023-07-05,4356.0,1099.0,100.0,7.66,9.099181073703367,6.969972702456779,25.229568411386595
feeddesk9,2023-07-06,5585.0,1437.0,131.0,7.36,9.116214335421017,5.12178148921364,25.729632945389437
feeddesk9,2023-07-07,5033.104530072727,1482.355829453886,138.02149120347,6.768011526165235,9.310955471084053,4.565713165278701,29.4521168912116
feeddesk9,2023-07-08,5030.0,1471.0,142.0,7.05,9.653297076818491,4.792658055744392,29.244532803180917
feeddesk9,2023-07-09,6519.338427947599,1536.1506550218342,126.62008733624454,6.680611353711791,8.242686804338526,4.3489297953115384,23.562983759771484
feeddesk9,2023-07-10,10037.0,1917.0,166.0,7.84,8.659363588941053,4.089723526343245,19.099332469861512
feeddesk9,2023-07-11,9709.0,1719.0,151.0,8.379999999999999,8.78417684700407,4.874927283304245,17.705221959007105
feeddesk9,2023-07-12,10175.0,2477.0,224.0,10.89,9.04319741622931,4.396447315300768,24.34398034398034
feeddesk9,2023-07-13,6673.0,1466.0,137.0,9.8,9.345156889495225,6.684856753069577,21.969129327139218
feeddesk9,2023-07-14,8345.323534085492,2246.569839504211,216.29906245034164,25.259378674717944,9.627969656090285,11.243531463189393,26.920104778782523
feeddesk9,2023-07-15,11850.0,2508.0,222.0,32.92,8.851674641148326,13.125996810207338,21.164556962025316
feeddesk9,2023-07-16,11382.0,2386.0,212.0,46.04,8.885163453478626,19.295892707460183,20.962923914953436
feeddesk9,2023-07-17,12676.0,3184.0,284.0,27.1,8.919597989949748,8.511306532663317,25.1183338592616
feeddesk9,2023-07-18,5727.0,3651.0,253.0,25.12,6.929608326485895,6.88030676526979,63.75065479308538
fd901,2023-07-08,4587.0,2161.0,204.0,12.57,9.440074039796391,5.816751503933364,47.11140178766078
fd901,2023-07-09,5269.0,3642.0,291.0,22.93,7.990115321252059,6.2959912136188905,69.1212753843234
fd902,2023-07-19,922.4996461429582,548.4755838641189,23.725406935598016,3.9681906109931586,4.325699745547073,7.234944868532655,59.4553706505295
